"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-01",,,,,"0.00","0.0",,,"36","-4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-02",,,,,"0.00","0.6",,,"35","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-03",,,,,"0.00","0.0",,,"17","1"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-04",,,,,"0.00","0.2",,,"25","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-05",,,,,"0.25","5.0",,,"26","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-06",,,,,"0.00","0.0",,,"10","-11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-07",,,,,"0.00","0.0",,,"-2","-11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-08",,,,,"0.00","0.0",,,"4","-22"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-09",,,,,"0.14","4.3",,,"11","-18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-10",,,,,"0.00","0.0",,,"21","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-11",,,,,"0.00","0.0",,,"13","-19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-12",,,,,"0.00","0.0",,,"20","-19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-13",,,,,"0.00","0.0",,,"28","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-14",,,,,"0.00","0.0",,,"33","-24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-15",,,,,"0.00","0.0",,,"-9","-24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-16",,,,,"0.00","0.0",,,"14","-13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-17",,,,,"0.00","0.0",,,"33","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-18",,,,,"0.00","0.0",,,"40","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-19",,,,,"0.32","0.0",,,"35","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-20",,,,,"0.00","0.0",,,"31","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-21",,,,,"0.24","2.0",,,"29","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-22",,,,,"0.00","0.0",,,"38","4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-23",,,,,"0.00","0.0",,,"23","-13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-24",,,,,"0.00","0.0",,,"26","-14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-25",,,,,"0.10","1.6",,,"29","-6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-26",,,,,"0.52","6.0",,,"34","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-27",,,,,"0.10","2.8",,,"25","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-28",,,,,"0.00","0.0",,,"5","-17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-29",,,,,"0.00","0.0",,,"14","-21"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1988-01-30",,,,,"0.04","0.6",,,"18","-21"
