"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-01",,,,,"0.11","0.8","0.0",,"40","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-02",,,,,"0.00","0.0","0.0",,"45","32"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-03",,,,,"0.00","0.0","0.0",,"61","43"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-04",,,,,"0.00","0.0","0.0",,"57","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-05",,,,,"0.00","0.0","0.0",,"46","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-06",,,,,"0.01","0.0","0.0",,"42","36"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-07",,,,,"0.00","0.0","0.0",,"48","35"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-08",,,,,"0.00","0.0","0.0",,"44","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-09",,,,,"0.16","0.0","0.0",,"41","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-10",,,,,"0.01","0.0","0.0",,"40","27"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-11",,,,,"0.07","0.8","0.0",,"35","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-12",,,,,"0.00","0.0","0.0",,"33","22"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-13",,,,,"0.00","0.0","0.0",,"29","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-14",,,,,"0.00","0.0","0.0",,"34","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-15",,,,,"0.00","0.0","0.0",,"43","31"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-16",,,,,"0.00","0.0","0.0",,"52","41"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-17",,,,,"0.00","0.0","0.0",,"53","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-18",,,,,"0.00","0.0","0.0",,"35","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-19",,,,,"0.00","0.0","0.0",,"47","31"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-20",,,,,"0.00","0.0","0.0",,"60","41"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-21",,,,,"0.00","0.0","0.0",,"44","24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-22",,,,,"0.00","0.0","0.0",,"32","24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-23",,,,,"0.00","0.0","0.0",,"33","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-24",,,,,"0.00","0.0","0.0",,"39","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-25",,,,,"0.00","0.0","0.0",,"46","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-26",,,,,"0.11","0.0","0.0",,"52","46"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-27",,,,,"0.00","0.0","0.0",,"52","39"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2001-11-28",,,,,"0.10","0.0","0.0",,"46","30"
