"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-01",,,,,"0.00","0.0","14.0",,"12","-8"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-02",,,,,"0.01","0.8","14.0",,"19","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-03",,,,,"0.00","0.0","14.0",,"25","2"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-04",,,,,"0.00","0.0","14.0",,"18","-13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-05",,,,,"0.01","0.4","13.0",,"22","-13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-06",,,,,"0.08","1.3","14.0",,"24","15"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-07",,,,,"0.03","1.2","15.0",,"29","11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-08",,,,,"0.00","0.0","15.0",,"14","-9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-09",,,,,"0.03","0.8","15.0",,"22","-6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-10",,,,,"0.38","4.3","21.0",,"29","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-11",,,,,"0.00","0.0","18.0",,"28","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-12",,,,,"0.21","0.0","17.0",,"37","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-13",,,,,"0.00","0.0","15.0",,"38","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-14",,,,,"0.03","0.0","15.0",,"45","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-15",,,,,"0.76","0.6","12.0",,"50","13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-16",,,,,"0.10","1.8","13.0",,"15","-4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-17",,,,,"0.00","0.0","13.0",,"12","-4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-18",,,,,"0.08","0.5","13.0",,"28","5"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-19",,,,,"1.03","0.4","11.0",,"50","24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-20",,,,,"0.00","0.0","11.0",,"28","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-21",,,,,"0.00","0.0","11.0",,"41","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-22",,,,,"0.13","0.0","10.0",,"49","6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-23",,,,,"0.00","0.0","10.0",,"22","6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-24",,,,,"0.11","2.0","12.0",,"27","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-25",,,,,"0.00","0.0","12.0",,"32","13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-26",,,,,"0.05","0.6","13.0",,"30","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-27",,,,,"0.00","0.0","12.0",,"27","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-28",,,,,"0.00","0.0","12.0",,"34","8"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-29",,,,,"0.00","0.0","12.0",,"41","21"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-30",,,,,"0.13","1.7","13.0",,"28","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-01-31",,,,,"0.15","1.8","14.0",,"22","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-01",,,,,"0.06","1.0","15.0",,"26","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-02",,,,,"0.00","0.0","14.0",,"28","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-03",,,,,"0.07","0.9","15.0",,"28","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-04",,,,,"0.33","0.0","14.0",,"40","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-05",,,,,"0.60","0.0","13.0",,"40","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-06",,,,,"0.48","0.0","12.0",,"42","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-07",,,,,"0.08","1.5","13.0",,"29","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-08",,,,,"0.00","0.0","13.0",,"19","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2006-02-09",,,,,"0.00","0.0","13.0",,"17","-2"
