"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-04",,,,,"0.00","0.0","20.1",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-05",,,,,"0.56","0.5","20.5",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-07",,,,,"0.00","0.0","19.8",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-08",,,,,"0.87",,"17.4",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-09",,,,,"0.15",,"16.4",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-10",,,,,"0.00","0.0","16.0",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-11",,,,,"0.02",,"14.2",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-12",,,,,"0.00",,"13.5",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-13",,,,,"0.00","0.0","10.2",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-14",,,,,"0.21",,"7.9",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-15",,,,,"0.00","0.0","6.1",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-16",,,,,"1.03","0.5","1.6",,,
"US1MEAN0028","NORTH TURNER 1.0 SW, ME US","44.332031","-70.268492","114.9","2014-04-17",,,,,"0.00","0.0","1.2",,,
