"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-01",,,,,"0.18","3.0","23.0",,"28","13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-02",,,,,"0.66","7.0","28.0",,"29","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-03",,,,,"0.00","0.5","27.0",,"21","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-04",,,,,"0.00","0.0","26.0",,"9","-8"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-05",,,,,"0.00","0.3","25.0",,"28","6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-06",,,,,"0.02","0.5","24.0",,"31","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-07",,,,,"0.00","0.0","23.0",,"40","30"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-08",,,,,"0.04","0.0","18.0",,"50","36"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-09",,,,,"0.01","0.0","15.0",,"51","36"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-10",,,,,"0.00","0.0","13.0",,"48","35"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-11",,,,,"0.00","0.0","13.0",,"39","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-12",,,,,"0.38","1.5","14.0",,"37","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-13",,,,,"0.00","0.0","14.0",,"40","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-14",,,,,"0.00","0.0","14.0",,"34","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-15",,,,,"0.52","6.0","20.0",,"20","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-16",,,,,"0.00","0.0","19.0",,"24","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-17",,,,,"0.00","0.0","18.0",,"23","-4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-18",,,,,"0.08","1.4","19.0",,"30","-4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-19",,,,,"0.29","4.0","22.0",,"37","16"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-20",,,,,"0.02","0.6","21.0",,"28","4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-21",,,,,"0.00","0.0","21.0",,"11","-7"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-22",,,,,"0.00","0.0","21.0",,"12","-7"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2008-01-23",,,,,"0.05","1.6","21.0",,"22","7"
