"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-01",,,,,"0.00","0.0","19.0",,"11","-9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-02",,,,,"0.00","0.0","19.0",,"2","-9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-03",,,,,"0.00","0.0","0.0",,"21","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-04",,,,,"0.01","0.0","19.0",,"15","5"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-05",,,,,"0.00","0.0","19.0",,"17","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-06",,,,,"0.00","0.0","18.0",,"27","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-07",,,,,"0.00","0.0","18.0",,"21","2"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-08",,,,,"0.87","9.0","27.0",,"13","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-09",,,,,"0.00","0.0","27.0",,"25","4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-10",,,,,"0.00","0.0","27.0",,"11","-2"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-11",,,,,"0.00","0.0","0.0",,"14","-17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-12",,,,,"0.11","0.5","28.0",,"12","-18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-13",,,,,"0.00","0.0","28.0",,"19","-8"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-14",,,,,"0.00","0.0","27.0",,"28","-5"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009-01-15",,,,,"0.00","0.0","27.0",,"1","-24"
