YEAR,MONTH,DAY,VALUE
1981,3,3,-0.905
1981,3,4,-1.215
1981,3,5,-1.244
1981,3,6,-1.107
1981,3,7,-0.725
1981,3,8,-0.176
1981,3,9,0.128
1981,3,10,0.186
1981,3,11,0.240
1981,3,12,0.082
1981,3,13,-0.237
1981,3,14,-0.424
1981,3,15,-0.590
1981,3,16,-0.808
1981,3,17,-0.946
1981,3,18,-1.087
1981,3,19,-0.984
1981,3,20,-0.767
1981,3,21,-0.648
1981,3,22,-0.199
1981,3,23,0.046
1981,3,24,0.005
1981,3,25,0.013
1981,3,26,-0.051
1981,3,27,-0.187
1981,3,28,-0.160
1981,3,29,-0.123
1981,3,30,-0.172
1981,3,31,-0.040
1981,4,1,0.094
1981,4,2,0.275
1981,4,3,0.107
1981,4,4,0.319
1981,4,5,0.538
1981,4,6,0.533
1981,4,7,0.525
1981,4,8,0.886
1981,4,9,1.169
1981,4,10,0.944
1981,4,11,0.753
1981,4,12,0.873
1981,4,13,0.866
1981,4,14,0.812
1981,4,15,0.862
1981,4,16,0.764
1981,4,17,0.294
1981,4,18,-0.092
1981,4,19,-0.631
1981,4,20,-1.234
1981,4,21,-1.414
1981,4,22,-1.168
1981,4,23,-1.120
1981,4,24,-1.011
1981,4,25,-0.946
1981,4,26,-0.725
1981,4,27,-0.266
1981,4,28,0.248
1981,4,29,0.580
1981,4,30,0.828
1981,5,1,0.769
1981,5,2,0.755
1981,5,3,0.479
1981,5,4,0.496
1981,5,5,0.548
1981,5,6,0.429
1981,5,7,0.059
1981,5,8,-0.062
1981,5,9,0.635
1981,5,10,1.038
1981,5,11,1.245
1981,5,12,1.302
1981,5,13,0.754
1981,5,14,0.250
1981,5,15,0.159
1981,5,16,0.339
1981,5,17,0.349
1981,5,18,0.197
1981,5,19,-0.105
1981,5,20,0.028
1981,5,21,0.308
1981,5,22,0.148
1981,5,23,-0.334
1981,5,24,-0.702
1981,5,25,-0.772
1981,5,26,-0.659
1981,5,27,-0.457
1981,5,28,-0.408
1981,5,29,-0.306
1981,5,30,-0.174
1981,5,31,-0.149
1981,11,1,-0.342
1981,11,2,-0.159
1981,11,3,-0.134
1981,11,4,-0.040
1981,11,5,-0.253
1981,11,6,-0.239
1981,11,7,-0.151
1981,11,8,0.122
1981,11,9,0.550
1981,11,10,0.592
1981,11,11,0.249
1981,11,12,-0.053
1981,11,13,-0.020
1981,11,14,0.120
1981,11,15,-0.043
1981,11,16,-0.204
1981,11,17,-0.115
1981,11,18,0.031
1981,11,19,0.034
1981,11,20,0.002
1981,11,21,-0.223
1981,11,22,-0.461
1981,11,23,-0.303
1981,11,24,-0.179
1981,11,25,-0.274
1981,11,26,-0.066
1981,11,27,-0.015
1981,11,28,-0.264
1981,11,29,-0.274
1981,11,30,-0.608
1981,12,1,-0.856
1981,12,2,-1.136
1981,12,3,-0.909
1981,12,4,-0.343
1981,12,5,-0.130
1981,12,6,-0.068
1981,12,7,0.166
1981,12,8,0.013
1981,12,9,0.261
1981,12,10,0.583
1981,12,11,0.799
1981,12,12,0.776
1981,12,13,0.590
1981,12,14,0.646
1981,12,15,0.738
1981,12,16,0.708
1981,12,17,0.480
1981,12,18,0.456
1981,12,19,0.378
1981,12,20,0.229
1981,12,21,0.140
1981,12,22,0.024
1981,12,23,-0.284
1981,12,24,-0.474
1981,12,25,-0.727
1981,12,26,-0.942
1981,12,27,-1.076
1981,12,28,-1.240
1981,12,29,-1.138
1981,12,30,-1.255
1981,12,31,-1.253
1982,1,1,-1.282
1982,1,2,-1.218
1982,1,3,-1.136
1982,1,4,-0.700
1982,1,5,-0.632
1982,1,6,-1.045
1982,1,7,-1.505
1982,1,8,-1.788
1982,1,9,-1.772
1982,1,10,-1.431
1982,1,11,-0.874
1982,1,12,-0.210
1982,1,13,0.034
1982,1,14,0.060
1982,1,15,-0.343
1982,1,16,-0.373
1982,1,17,-0.209
1982,1,18,-0.235
1982,1,19,-0.194
1982,1,20,-0.165
1982,1,21,-0.153
1982,1,22,-0.377
1982,1,23,-0.407
1982,1,24,-0.280
1982,1,25,-0.127
1982,1,26,-0.112
1982,1,27,0.032
1982,1,28,0.375
1982,1,29,0.465
1982,1,30,0.444
1982,1,31,0.583
1982,2,1,0.729
1982,2,2,0.726
1982,2,3,0.262
1982,2,4,0.190
1982,2,5,0.690
1982,2,6,1.088
1982,2,7,1.100
1982,2,8,1.168
1982,2,9,1.241
1982,2,10,1.202
1982,2,11,1.503
1982,2,12,1.674
1982,2,13,1.567
1982,2,14,1.155
1982,2,15,0.907
1982,2,16,0.685
1982,2,17,0.246
1982,2,18,0.047
1982,2,19,0.169
1982,2,20,0.177
1982,2,21,0.274
1982,2,22,0.450
1982,2,23,0.659
1982,2,24,0.531
1982,2,25,0.366
1982,2,26,0.413
1982,2,27,0.535
1982,2,28,0.769
1982,3,1,1.059
1982,3,2,0.796
1982,3,3,0.797
1982,3,4,0.832
1982,3,5,0.830
1982,3,6,1.065
1982,3,7,1.217
1982,3,8,1.178
1982,3,9,1.423
1982,3,10,1.682
1982,3,11,1.478
1982,3,12,1.195
1982,3,13,1.093
1982,3,14,0.933
1982,3,15,0.417
1982,3,16,0.113
1982,3,17,0.112
1982,3,18,0.238
1982,3,19,0.312
1982,3,20,0.221
1982,3,21,0.283
1982,3,22,0.289
1982,3,23,0.285
1982,3,24,0.375
1982,3,25,0.722
1982,3,26,0.832
1982,3,27,0.551
1982,3,28,0.434
1982,3,29,0.448
1982,3,30,0.268
1982,3,31,0.229
1982,4,1,0.192
1982,4,2,0.051
1982,4,3,-0.142
1982,4,4,-0.393
1982,4,5,-0.667
1982,4,6,-0.982
1982,4,7,-1.398
1982,4,8,-1.609
1982,4,9,-1.411
1982,4,10,-0.811
1982,4,11,-0.108
1982,4,12,0.263
1982,4,13,0.539
1982,4,14,0.641
1982,4,15,0.339
1982,4,16,0.026
1982,4,17,-0.101
1982,4,18,0.017
1982,4,19,0.033
1982,4,20,0.568
1982,4,21,0.823
1982,4,22,1.205
1982,4,23,1.363
1982,4,24,1.156
1982,4,25,0.749
1982,4,26,0.858
1982,4,27,1.145
1982,4,28,0.820
1982,4,29,0.756
1982,4,30,0.802
1982,11,1,0.447
1982,11,2,0.357
1982,11,3,-0.050
1982,11,4,-0.313
1982,11,5,-0.094
1982,11,6,0.155
1982,11,7,0.588
1982,11,8,0.865
1982,11,9,1.152
1982,11,10,1.461
1982,11,11,1.548
1982,11,12,1.534
1982,11,13,1.229
1982,11,14,0.958
1982,11,15,1.480
1982,11,16,1.495
1982,11,17,1.152
1982,11,18,1.024
1982,11,19,0.611
1982,11,20,0.406
1982,11,21,0.513
1982,11,22,0.613
1982,11,23,0.803
1982,11,24,0.754
1982,11,25,0.679
1982,11,26,1.046
1982,11,27,1.153
1982,11,28,0.974
1982,11,29,1.060
1982,11,30,1.395
1982,12,1,1.284
1982,12,2,0.922
1982,12,3,0.807
1982,12,4,1.155
1982,12,5,1.441
1982,12,6,0.994
1982,12,7,0.672
1982,12,8,0.820
1982,12,9,1.032
1982,12,10,0.939
1982,12,11,0.621
1982,12,12,0.657
1982,12,13,0.790
1982,12,14,1.199
1982,12,15,2.040
1982,12,16,2.341
1982,12,17,1.848
1982,12,18,1.342
1982,12,19,1.206
1982,12,20,1.108
1982,12,21,0.949
1982,12,22,1.013
1982,12,23,0.972
1982,12,24,0.791
1982,12,25,0.716
1982,12,26,0.862
1982,12,27,0.791
1982,12,28,0.287
1982,12,29,-0.122
1982,12,30,0.265
1982,12,31,1.144
1983,1,1,2.163
1983,1,2,2.309
1983,1,3,2.132
1983,1,4,2.124
1983,1,5,1.919
1983,1,6,1.748
1983,1,7,1.483
1983,1,8,1.098
1983,1,9,0.664
1983,1,10,0.310
1983,1,11,0.435
1983,1,12,0.572
1983,1,13,0.978
1983,1,14,1.033
1983,1,15,0.828
1983,1,16,0.509
1983,1,17,0.191
1983,1,18,-0.159
1983,1,19,-0.548
1983,1,20,-0.655
1983,1,21,-0.584
1983,1,22,-0.338
1983,1,23,0.269
1983,1,24,0.973
1983,1,25,1.489
1983,1,26,1.465
1983,1,27,1.534
1983,1,28,1.406
1983,1,29,1.133
1983,1,30,0.740
1983,1,31,0.536
1983,2,1,0.369
1983,2,2,-0.020
1983,2,3,-0.126
1983,2,4,-0.001
1983,2,5,-0.318
1983,2,6,-0.576
1983,2,7,-0.537
1983,2,8,-0.462
1983,2,9,-0.587
1983,2,10,-0.690
1983,2,11,-0.567
1983,2,12,-0.274
1983,2,13,-0.037
1983,2,14,-0.113
1983,2,15,-0.303
1983,2,16,-0.335
1983,2,17,-0.378
1983,2,18,-0.335
1983,2,19,-0.481
1983,2,20,-0.324
1983,2,21,-0.019
1983,2,22,0.302
1983,2,23,0.503
1983,2,24,0.363
1983,2,25,0.400
1983,2,26,0.801
1983,2,27,1.215
1983,2,28,1.398
1983,3,1,1.634
1983,3,2,1.525
1983,3,3,1.233
1983,3,4,0.874
1983,3,5,0.695
1983,3,6,0.764
1983,3,7,0.740
1983,3,8,0.679
1983,3,9,0.746
1983,3,10,0.600
1983,3,11,0.565
1983,3,12,0.659
1983,3,13,0.652
1983,3,14,0.500
1983,3,15,0.547
1983,3,16,0.804
1983,3,17,0.949
1983,3,18,1.038
1983,3,19,1.009
1983,3,20,0.813
1983,3,21,0.618
1983,3,22,0.468
1983,3,23,0.280
1983,3,24,0.062
1983,3,25,0.060
1983,3,26,0.333
1983,3,27,0.243
1983,3,28,0.593
1983,3,29,0.904
1983,3,30,0.706
1983,3,31,0.214
1983,4,1,-0.129
1983,4,2,-0.116
1983,4,3,-0.137
1983,4,4,-0.135
1983,4,5,-0.160
1983,4,6,-0.414
1983,4,7,-0.378
1983,4,8,-0.035
1983,4,9,0.300
1983,4,10,0.293
1983,4,11,0.057
1983,4,12,-0.014
1983,4,13,-0.035
1983,4,14,-0.249
1983,4,15,-0.400
1983,4,16,-0.536
1983,4,17,-0.556
1983,4,18,-0.875
1983,4,19,-1.295
1983,4,20,-1.357
1983,4,21,-1.226
1983,4,22,-0.868
1983,4,23,-0.693
1983,4,24,-0.503
1983,4,25,-0.533
1983,4,26,-0.828
1983,4,27,-0.855
1983,4,28,-0.755
1983,4,29,-0.664
1983,4,30,-0.396
1983,11,1,0.593
1983,11,2,0.325
1983,11,3,0.196
1983,11,4,0.238
1983,11,5,0.127
1983,11,6,0.066
1983,11,7,0.126
1983,11,8,0.151
1983,11,9,-0.131
1983,11,10,-0.631
1983,11,11,-0.910
1983,11,12,-0.885
1983,11,13,-0.948
1983,11,14,-1.123
1983,11,15,-1.158
1983,11,16,-1.085
1983,11,17,-0.992
1983,11,18,-0.709
1983,11,19,-0.667
1983,11,20,-1.189
1983,11,21,-1.419
1983,11,22,-1.178
1983,11,23,-0.998
1983,11,24,-0.685
1983,11,25,-0.121
1983,11,26,0.178
1983,11,27,-0.097
1983,11,28,-0.444
1983,11,29,-0.559
1983,11,30,-0.041
1983,12,1,-0.227
1983,12,2,0.246
1983,12,3,0.083
1983,12,4,-0.260
1983,12,5,-0.372
1983,12,6,-0.593
1983,12,7,-0.564
1983,12,8,-0.158
1983,12,9,0.191
1983,12,10,0.676
