"GHCN_LAT","GHCN_LON","SNOW_LAT","SNOW_LON"
44.3768,-69.2616,44.403479,-69.227463
43.917443,-70.244087,43.883339,-70.25
43.5362,-70.453692,43.533307,-70.484398
44.6628114581108,-67.5516908615828,44.708167,-67.524696
44.0982513427734,-70.2398529052734,44.060078,-70.275323
44.377379,-70.801659,44.414178,-70.837891
45.4578617960215,-69.5841179788113,45.465157,-69.628472
44.93543,-68.65845,44.907523,-68.662119
43.88,-70.63,43.87911,-70.632699
44.332031,-70.268492,44.374233,-70.317223
44.42106667,-70.83268333,44.414178,-70.837891
43.630646,-70.714211,43.650009,-70.669999
43.954187,-69.949192,44.002648,-69.947373
44.214322,-70.540544,44.263479,-70.514237
44.88482,-68.662713,44.907523,-68.662119
44.304563,-70.002747,44.300995,-70.035965
45.218051,-69.547912,45.170937,-69.588204
45.218051,-69.547912,45.266559,-69.581551
45.218051,-69.547912,45.170845,-69.544167
44.0068323,-70.0595972,43.983343,-70.050003
44.382429,-69.900503,44.349969,-69.884324
44.38857,-70.032217,44.41825,-69.999644
43.27435,-70.86503,43.286398,-70.89917
44.092274,-70.262788,44.060078,-70.275323
44.31926,-69.70891,44.289992,-69.707787
44.892619,-68.669036,44.907523,-68.662119
44.93994,-71.01985,44.945659,-70.997712
44.93994,-71.01985,44.975006,-71.053498
44.291101,-69.069971,44.271186,-69.082432
44.291101,-69.069971,44.244972,-69.089198
44.46776,-70.835204,44.49584,-70.85833
44.663239,-70.156689,44.668406,-70.142278
44.94108,-68.64154,44.907523,-68.662119
45.211497,-68.474963,45.1941,-68.471131
44.073426,-70.401514,44.070712,-70.415902
44.073426,-70.401514,44.027692,-70.359684
43.911689,-70.322615,43.900019,-70.325791
43.700591,-70.295207,43.73443,-70.25737
44.32113,-69.78157,44.305151,-69.810584
43.71756,-70.559235,43.760723,-70.517182
45.32411,-68.58307,45.323,-68.58093
44.8925,-68.6833,44.907523,-68.662119
44.87005,-68.694467,44.907523,-68.662119
44.13489,-70.54943,44.097894,-70.5976
44.397233,-70.77801,44.41231,-70.729272
43.900347,-70.308834,43.900019,-70.325791
44.009638,-69.947821,44.002648,-69.947373
44.4162,-69.9519,44.41825,-69.999644
44.88412,-68.68114,44.907523,-68.662119
43.7201,-70.2871,43.73443,-70.25737
44.037233,-70.7063,44.055011,-70.721314
44.0979,-70.5976,44.145799,-70.629387
44.0979,-70.5976,44.097894,-70.5976
44.6768027,-69.9879736,44.633331,-70
43.637353,-70.576196,43.58848,-70.622803
46.15,-69.13333,46.14337,-69.124108
43.5,-70.45,43.533307,-70.484398
43.95,-70.3,43.900019,-70.325791
46.55,-68.33333,46.549984,-68.320219
46.55,-68.33333,46.550016,-68.320257
46.61667,-69.53333,46.603629,-69.51931
45.8782,-69.1776,45.910439,-69.185211
44.5,-70.85,44.49584,-70.85833
43.73333,-70.21667,43.73443,-70.25737
44.01667,-70.9825,44.008712,-70.955903
44.01667,-70.9825,44.022304,-70.964898
43.71667,-70.65,43.691609,-70.673859
